million,"n. 百万；无数
adj. 百万的；无数的
num. 百万"
abundance,n. 充裕，丰富
adjective,"n. 形容词
adj. 形容词的；从属的"
biography,n. 传记；档案；个人简介
emergence,n. 出现，浮现；发生；露头
expansion,n. 膨胀；阐述；扩张物
gentleman,n. 先生；绅士；有身份的人
greatness,n. 伟大；巨大
intention,n. 意图；目的；意向；愈合
parenting,"n. 父母对子女的养育
v. 教养（parent的ing形式）；做…的父亲或母亲"
regulator,n. 调整者；监管者；校准器
rejection,n. 抛弃；拒绝；被抛弃的东西；盖帽
loneliness,n. 寂寞，孤独
smartphone,n. 智能手机
vocabulary,n. 词汇；词表；词汇量
adjustment,n. 调整，调节；调节器
assistance,n. 援助，帮助；辅助设备
complexity,n. 复杂，复杂性；复杂错综的事物
disability,n. 残疾；无能；无资格；不利条件
greenhouse,"n. 温室
造成温室效应的"
reputation,n. 名声，名誉；声望
transition,n. 过渡；转变； 转换；变调
description,n. 描述，描写；类型；说明书
electricity,n. 电力；电流；强烈的紧张情绪
defense,"n. 防卫，防护；防御措施；防守
vt. 谋划抵御"
defence,n. 防御；防卫；答辩；防卫设备
breakthrough,n. 突破；突破性进展
attractiveness,n. 吸引力；迷惑力
fix,"n. 困境；方位；贿赂
vt. 使固定；修理；安装；准备
vi. 固定；注视"
owe,"vt. 欠；感激；应给予；应该把……归功于
vi. 欠钱"
chew,"n. 咀嚼；咀嚼物
vi. 细想，深思
vt. 嚼碎，咀嚼"
obey,"vt. 服从，听从；按照……行动
vi. 服从，顺从；听话"
pave,vt. 铺设；安排；作铺设之用
plug,"n. 插头；塞子；栓
vt. 插入；塞住；接插头
vi. 塞住；用插头将与电源接通"
cheat,"n. 欺骗，作弊；骗子
vt. 欺骗；骗取
vi. 欺骗；作弊"
split,"n. 劈开；裂缝
adj. 劈开的
vt. 分离；使分离；劈开；离开；分解
vi. 离开；被劈开；断绝关系"
carve,"vt. 雕刻；切开；开创
vi. 切开；做雕刻工作"
decay,"n. 衰退， 衰减；腐烂，腐朽
vt. 使腐烂，使腐败；使衰退，使衰落
vi. 衰退， 衰减；腐烂，腐朽"
scare,"n. 恐慌；惊吓；惊恐
vt. 惊吓；把…吓跑
adj. （美）骇人的
vi. 受惊"
modify,"vt. 修改，修饰；更改
vi. 修改"
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
worsen,"vi. 恶化；变得更坏；更坏
vt. 使恶化；使变得更坏"
injure,vt. 伤害，损害
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
shrink,"vi. 收缩；畏缩
n. 收缩；畏缩；<俚>精神病学家
vt. 使缩小，使收缩"
strive,vi. 努力；奋斗；抗争
comply,vi. 遵守；顺从，遵从；答应
retain,vt. 保持；雇；记住
deserve,"vi. 应受，应得
vt. 应受，应得"
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
abolish,vt. 废除，废止；取消，革除
breathe,"vi. 呼吸；低语；松口气；（风）轻拂
vt. 呼吸；使喘息；流露；低声说"
consist,vi. 由…组成；在于；符合
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
reshape,vt. 改造；再成形
broaden,"vt. 使扩大；使变宽
vi. 扩大，变阔；变宽，加宽"
migrate,"vi. 移动；随季节而移居；移往
vt. 使移居；使移植"
portray,vt. 描绘；扮演
shorten,"vt. 缩短；减少；变短
vi. 缩短；变短"
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
outweigh,vt. 比…重（在重量上）；比…重要；比…有价值
regulate,vt. 调节，规定；控制；校准；有系统的管理
activate,"vt. 刺激；使活动；使活泼；使产生放射性
vi. 激活；有活力"
civilize,"vt. 使文明；教化；使开化
vi. 变得文明"
emigrate,"vi. 移居；移居外国
vt. 移民"
endanger,vt. 危及；使遭到危险
mismatch,"vt. 使配错
n. 错配；不协调"
overcome,"vt. 克服；胜过
vi. 克服；得胜"
undercut,"n. 底切；牛腰部下侧嫩肉；砍口；切球
vt. 廉价出售；较便宜的工资工作；从下边削球
vi. 底切"
fascinate,"vt. 使着迷，使神魂颠倒
vi. 入迷"
frustrate,"vt. 挫败；阻挠；使感到灰心
adj. 挫败的；无益的
vi. 失败；受挫"
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
cooperate,vi. 合作，配合；协力
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
authorize,vt. 批准，认可；授权给；委托代替
reimagine, 再定义
misunderstand,vt. 误解；误会
symbolise,vt. 象征，代表（等于symbolize）
symbolize,"vt. 象征；用符号表现
vi. 采用象征；使用符号；作为…的象征"
calm,"n. 风平浪静
adj. 静的，平静的；沉着的
vt. 使平静；使镇定
vi. 平静下来；镇定下来"
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
sole,"n. 鞋底；脚底；基础；鳎目鱼
adj. 唯一的；单独的；仅有的
vt. 触底；上鞋底"
eager,adj. 渴望的；热切的；热心的
fresh,"n. 开始；新生；泛滥
adj. 新鲜的；清新的；淡水的；无经验的
adv. 刚刚，才；最新地"
vital,adj. 至关重要的；生死攸关的；有活力的
upper,adj. 上面的，上部的；较高的
urban,adj. 城市的；住在都市的
weird,"n. （苏格兰）命运；预言
adj. 怪异的；不可思议的；超自然的"
casual,"n. 便装；临时工人；待命士兵
adj. 随便的；非正式的；临时的；偶然的"
entire,adj. 全部的，整个的；全体的
lesser,"adj. 较少的；次要的；更小的
adv. 较少地；更小地；不及"
unsafe,adj. 不安全的；危险的；不安稳的
visual,adj. 视觉的，视力的；栩栩如生的
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
actual,adj. 真实的，实际的；现行的，目前的
tricky,adj. 狡猾的；机警的
asocial,adj. 自私的；不合群的；缺乏社交性的
diverse,adj. 不同的；多种多样的；变化多的
factual,adj. 事实的；真实的
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
minimal,adj. 最低的；最小限度的
monthly,"adj. 每月的，每月一次的；有效期为一个月的
n. 月刊
adv. 每月，每月一次"
unaware,"adj. 不知道的，无意的；未察觉到的
adv. 意外地；不知不觉地"
unknown,"n. 未知数；未知的事物，默默无闻的人
adj. 未知的；陌生的，默默无闻的"
wealthy,"n. 富人
adj. 富有的；充分的；丰裕的"
outdoor,adj. 户外的；露天的；野外的（等于out-of-door）
teenage,"n. 青少年时期
adj. 青少年的；十几岁的"
violent,adj. 暴力的；猛烈的
cautious,adj. 谨慎的；十分小心的
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
uncommon,"adj. 不寻常的；罕有的
adv. 非常地"
electric,"n. 电；电气车辆；带电体
adj. 电的；电动的；发电的；导电的；令人震惊的"
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
juvenile,"adj. 青少年的；幼稚的
n. 青少年；少年读物"
outdated,"adj. 过时的；旧式的
v. 使过时（outdate的过去式和过去分词）"
absolute,"n. 绝对；绝对事物
adj. 绝对的；完全的；专制的"
frequent,"adj. 频繁的；时常发生的；惯常的
vt. 常到，常去；时常出入于"
grateful,adj. 感谢的；令人愉快的，宜人的
inherent,adj. 固有的；内在的；与生俱来的，遗传的
ordinary,"adj. 普通的；平凡的；平常的
n. 普通；平常的人（或事）"
regional,adj. 地区的；局部的；整个地区的
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
confusing,"v. 使迷惑；使混乱不清；使困窘（confuse的ing形式）
adj. 混乱的；混淆的；令人困惑的"
intensive,"n. 加强器
adj. 加强的；集中的；透彻的；加强语气的"
skeptical,adj. 怀疑的；怀疑论的，不可知论的
dishonest,adj. 不诚实的；欺诈的
invisible,adj. 无形的，看不见的；无形的；不显眼的，暗藏的
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
reluctant,adj. 不情愿的；勉强的；顽抗的
rewarding,adj. 有益的，值得的；有报酬的，报答的
advisable,adj. 明智的，可取的，适当的
energetic,adj. 精力充沛的；积极的；有力的
enjoyable,adj. 快乐的；有乐趣的；令人愉快的
misguided,"adj. 被误导的
v. 使入歧途（misguide的过去分词）"
nonprofit,adj. 非盈利的；不以盈利为目的的
realistic,adj. 现实的；现实主义的；逼真的；实在论的
strategic,adj. 战略上的，战略的
unpleasant,adj. 讨厌的；使人不愉快的
beneficial,adj. 有益的，有利的；可享利益的
hard-wired,adj.  硬连线的，硬接线的
unexpected,adj. 意外的，想不到的
continuous,adj. 连续的，持续的；继续的；连绵不断的
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
incomplete,adj. 不完全的； 不完备的
passionate,adj. 热情的；热烈的，激昂的；易怒的
reasonable,adj. 合理的，公道的；通情达理的
unnecessary,adj. 不必要的；多余的，无用的
predictable,adj. 可预言的
insufficient,"adj. 不足的，不充足的；不胜任的；缺乏能力的
n. 不足；缺乏"
southwestern,adj. 西南部的；向西南的；来自西南的
newly,adv. 最近；重新；以新的方式
partly,adv. 部分地；在一定程度上
evenly,adv. 均匀地；平衡地；平坦地；平等地
overly,adv. 过度地；极度地
surely,adv. 当然；无疑；坚定地；稳当地
wholly,adv. 完全地；全部；统统
anymore,adv. 再也不，不再
nowhere,"adv. 无处；任何地方都不；毫无结果
n. 无处；任何地方；无名之地
adj. 不存在的；毫无结果的；不知名的"
heavily,adv. 沉重地；猛烈地；沉闷地
mentally,adv. 精神上，智力上；心理上
actively,adv. 积极地；活跃地
formerly,adv. 以前；原来
severely,adv. 严重地；严格地，严厉地；纯朴地
steadily,adv. 稳定地；稳固地；有规则地
gradually,adv. 逐步地；渐渐地
primarily,adv. 首先；主要地，根本上
literally,adv. 照字面地；逐字地；不夸张地；正确地；简直
presently,adv. （美）目前；不久
privately,adv. 私下地；秘密地
physically,adv. 身体上，身体上地
politically,adv. 政治上
historically,adv. 历史上地；从历史观点上说
consequently,adv. 因此；结果；所以
sufficiently,adv. 充分地；足够地
surprisingly,adv. 惊人地；出人意料地
lest,conj. 唯恐，以免；担心
lord,"n. 主；上帝
int. 主，天啊
vt. 使成贵族
vi. 作威作福，称王称霸"
mode,n. 模式；方式；风格；时尚
doom,"n. 厄运；死亡；判决；世界末日
vt. 注定；判决；使失败"
flaw,"n. 瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹
v. 使生裂缝，使有裂纹；使无效；使有缺陷
vi. 生裂缝；变的有缺陷"
inch,"n. 英寸；身高；少许
vt. 使缓慢地移动
vi. 慢慢前进"
myth,n. 神话；虚构的人，虚构的事
tide,"n. 趋势，潮流；潮汐
vt. 随潮漂流"
tone,"n. 语气；色调；音调；音色
vt. 增强；用某种调子说
vi. 颜色调和；呈现悦目色调"
mate,"n. 助手，大副；配偶；同事；配对物
vt. 使配对；使一致；结伴
vi. 交配；成配偶；紧密配合"
shot,"n. 发射；炮弹；射手；镜头
v. 射击（shoot的过去式和过去分词）
adj. 用尽的；破旧的；杂色的，闪光的"
faith,n. 信仰；信念；信任；忠实
scene,n. 场面；情景；景象；事件
frame,"n. 框架；结构； 画面
adj. 有木架的；有构架的
vt. 设计；建造；陷害；使…适合
vi. 有成功希望"
index,"n. 指标；指数；索引；指针
vt. 指出；编入索引中
vi. 做索引"
alarm,"n. 闹钟；警报，警告器；惊慌
vt. 警告；使惊恐"
cabin,"n. 小屋；客舱；船舱
vt. 把…关在小屋里
vi. 住在小屋里"
essay,"n. 散文；试图；随笔
vt. 尝试；对…做试验"
forum,n. 论坛，讨论会；法庭；公开讨论的广场
nerve,"n. 神经；勇气； 叶脉
vt. 鼓起勇气"
twist,"n. 扭曲；拧；扭伤
vt. 捻；拧；扭伤；编织；使苦恼
vi. 扭动；弯曲"
relief,n. 救济；减轻，解除；安慰；浮雕
ritual,"n. 仪式；惯例；礼制
adj. 仪式的；例行的；礼节性的"
wisdom,n. 智慧，才智；明智；学识；至理名言
affair,n. 事情；事务；私事；（尤指关系不长久的）风流韵事
cotton,"n. 棉花；棉布；棉线
adj. 棉的；棉制的
vi. 一致；理解；和谐；亲近"
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
thesis,n. 论文；论点
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
bubble,"n. 气泡，泡沫，泡状物；透明圆形罩，圆形顶
vt. 使冒泡；滔滔不绝地说
vi. 沸腾，冒泡；发出气泡声"
heaven,n. 天堂；天空；极乐
killer,n. 杀手；致死；止痛药；宰杀的器具；断路器
length,n. 长度，长；时间的长短；（语）音长
makeup,n. 化妆品；组成；补充；补考
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
symbol,n. 象征；符号；标志
symptom,n.  症状；征兆
biology,n. （一个地区全部的）生物；生物学
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
profile,"n. 侧面；轮廓；外形；剖面；简况
vt. 描…的轮廓；扼要描述
vi. 给出轮廓"
ceiling,n. 天花板；上限
comfort,"n. 安慰；舒适；安慰者
vt. 安慰；使（痛苦等）缓和"
dilemma,n. 困境；进退两难；两刀论法
episode,n. 插曲；一段情节；插话；有趣的事件
hearing,"n. 听力；审讯，听讯
v. 听见（hear的ing形式）"
storage,n. 存储；仓库；贮藏所
approval,n. 批准；认可；赞成
headline,"n. 大标题；内容提要；栏外标题；头版头条新闻
vt. 给…加标题；使成为注意中心；大力宣传"
delivery,n.  交付；分娩；递送
instinct,"n. 本能，直觉；天性
adj. 充满着的"
appetite,n. 食欲；嗜好
bachelor,n. 学士；单身汉；（尚未交配的）小雄兽
boundary,n. 边界；范围；分界线
creature,n. 动物，生物；人；创造物
entrance,"n. 入口；进入
vt. 使出神，使入迷"
