data,n. 数据（datum的复数）；资料
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
latter,adj. 后者的；近来的；后面的；较后的
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
master,"vt. 控制；精通；征服
n. 硕士；主人；大师；教师
adj. 主人的；主要的；熟练的"
narrow,"adj. 狭窄的，有限的；勉强的；精密的；度量小的
n. 海峡；狭窄部分，隘路
vt. 使变狭窄
vi. 变窄"
wage,"n. 工资；代价；报偿
vt. 进行；开展
vi. 进行；发动；从事"
folk,"n. 民族；人们；亲属（复数）
adj. 民间的"
navy,"n. 海军
深蓝色的"
elite,n. 精英；精华；中坚分子
piracy,n. 海盗行为；剽窃；著作权侵害；非法翻印
embryo,"n.  胚胎；胚芽；初期
adj. 胚胎的；初期的"
spouse,"n. 配偶
vt. 和…结婚"
census,"n. 人口普查，人口调查
vt. 实施统计调查"
monarch,n. 君主，帝王；最高统治者
senator,n. 参议员；（古罗马的）元老院议员；评议员，理事
contempt,n. 轻视，蔑视；耻辱
governor,n. 主管人员；统治者，管理者； 调节器；地方长官
workforce,n. 劳动力；工人总数，职工总数
townsfolk,n. 市民；镇民
objection,n. 异议，反对；缺陷，缺点；妨碍；拒绝的理由
applicant,n. 申请人，申请者；请求者
capability,n. 才能，能力；性能，容量
corruption,n. 贪污，腐败；堕落
expedition,n. 远征；探险队；迅速
graduation,n. 毕业；毕业典礼；刻度，分度；分等级
enforcement,n. 执行，实施；强制
personality,n. 个性；品格；名人
philosopher,n. 哲学家；哲人
forgiveness,n. 宽恕；宽仁之心
antiscience,"n. 科学无用论
adj. 反对（或屏弃）科学的"
participant,"n. 参与者；关系者
adj. 参与的；有关系的"
policymaker,n. 政策制定者；决策人
shareholder,n. 股东；股票持有人
supervision,n. 监督，管理
entrepreneur,n. 企业家；承包人；主办者
downshifting,v. （汽车等）调低速挡( downshift的现在分词 )
postgraduate,"n. 研究生，研究所学生
adj. 大学毕业后的"
encouragement,n. 鼓励
intermarriage,n. 联姻，异族结婚；近亲结婚
insensitivity,n. 感觉迟钝；不灵敏性；昏迷
innovativeness,n. 创新性，创新精神
discrimination,n. 歧视；区别，辨别；识别力
implementation,n.  实现；履行；安装启用
accomplishment,n. 成就；完成；技艺，技能
intellectualism,n. 理智主义，知性主义
environmentalist,n. 环保人士；环境论者；研究环境问题的专家
worm,"n. 虫，蠕虫；蜗杆；螺纹；小人物
vt. 使蠕动；给除虫；使缓慢前进
vi. 慢慢前进；蠕行"
academy,n. 学院；研究院；学会；专科院校
leakage,n. 泄漏；渗漏物；漏出量
emission,n. （光、热等的）发射，散发；喷射；发行
platform,n. 平台；月台，站台；坛；讲台
astronomy,n. 天文学
allowance,"n. 津贴，零用钱；允许；限额
vt. 定量供应"
automation,n. 自动化；自动操作
laboratory,n. 实验室，研究室
prosperity,n. 繁荣，成功
compensation,n. 补偿；报酬；赔偿金
nationalisation,n. 国有化，国营
trait,n. 特性，特点；品质；少许
notion,n. 概念；见解；打算
merger,n. （企业等的）合并；并购；吸收（如刑法中重罪吸收轻罪）
motion,"n. 动作；移动；手势；请求；意向；议案
vi. 运动；打手势
vt. 运动；向…打手势"
misery,n. 痛苦，悲惨；不幸；苦恼；穷困
hormone,n.  激素，荷尔蒙
universe,n. 宇宙；世界；领域
provision,"n. 规定；条款；准备； 供应品
vt. 供给…食物及必需品"
ownership,n. 所有权；物主身份
criterion,n. （批评判断的）标准；准则；规范；准据
inequality,n. 不平等；不同；不平均
transition,n. 过渡；转变； 转换；变调
millennium,n. 千年期，千禧年；一千年，千年纪念；太平盛世，黄金时代
neutrality,n. 中立；中性；中立立场
prediction,n. 预报；预言
credibility,n. 可信性；确实性
controversy,n. 争论；论战；辩论
cooperation,n. 合作，协作； 协力
counterpart,n. 副本；配对物；极相似的人或物
improvement,n. 改进，改善；提高
availability,n. 可用性；有效性；实用性
indifference,n. 漠不关心；冷淡；不重视；中立
consciousness,n. 意识；知觉；觉悟；感觉
interactivity, 相互作用
consolidation,n. 巩固；合并；团结
profitability,n. 盈利能力；收益性；利益率
confrontation,n. 对抗；面对；对质
deforestation,n. 采伐森林；森林开伐
participation,n. 参与；分享；参股
interpretation,n. 解释；翻译；演出
homogenization,n. 均化； 均化作用
sustainability,n. 持续性；永续性；能维持性
transportation,n. 运输；运输系统；运输工具；流放
transferability,n. 可转移性；可转让性
specialisation,n. 特殊化，专门化，特化作用
specialization,n. 专门化；特殊化；特化作用
professionalisation, 职业化；专业化过程；职业化阶段
professionalization,n. 专业化；职业化
hack,"n. 砍，劈；出租马车
vt. 砍；出租
vi. 砍"
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
comply,vi. 遵守；顺从，遵从；答应
enforce,vt. 实施，执行；强迫，强制
prolong,vt. 延长；拖延
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
dedicate,vt. 致力；献身；题献
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
fascinate,"vt. 使着迷，使神魂颠倒
vi. 入迷"
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
enlighten,vt. 启发，启蒙；教导，开导；照耀
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
durable,"n. 耐用品
adj. 耐用的，持久的"
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
excessive,adj. 过多的，极度的；过分的
skeptical,adj. 怀疑的；怀疑论的，不可知论的
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
ambiguous,adj. 模糊不清的；引起歧义的
resistant,"n. 抵抗者
adj. 抵抗的，反抗的；顽固的"
systematic,adj. 系统的；体系的；有系统的； 分类的；一贯的，惯常的
passionate,adj. 热情的；热烈的，激昂的；易怒的
inadequate,adj. 不充分的，不适当的
meaningful,adj. 有意义的；意味深长的
regulatory,adj. 管理的；控制的；调整的
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
unconscious,adj. 无意识的；失去知觉的；不省人事的；未发觉的
subconscious,"n. 潜在意识；下意识心理活动
adj. 潜意识的；下意识的"
unaffordable,adj. 买不起的
evolutionary,adj. 进化的；发展的；渐进的
transferable,adj. 可转让的； 可转移的
unacceptable,adj. 不能接受的；不受欢迎的
behavioral,adj. 行为的
behavioural,adj. 行为的；动作的
unconditional,adj. 无条件的；绝对的；无限制的
controversial,adj. 有争议的；有争论的
congressional,adj. 国会的；会议的；议会的
insignificant,adj. 无关紧要的
grandmotherly,adj. 慈祥的，老祖母似的；老祖母的
materialistic,adj. 唯物主义的；唯物论的；金钱至上的
philosophical,adj. 哲学的（等于philosophic）；冷静的
psychological,adj. 心理的；心理学的；精神上的
unpredictable,"n. 不可预言的事
adj. 不可预知的；不定的；出乎意料的"
constitutional,"n. 保健散步；保健运动
adj. 宪法的；本质的；体质上的；保健的"
uncontrollable,adj. 无法控制的；无法管束的；难以驾驭的
unacknowledged,adj. 不被承认的，未公开承认的；未答复的
interprovincial,adj. 省与省之间的，各省之间的，省际的
somewhat,"n. 几分；某物
adv. 有点；多少；几分；稍微"
radically,adv. 根本上；彻底地；以激进的方式
apparently,adv. 显然地；似乎，表面上
inevitably,adv. 不可避免地；必然地
necessarily,adv. 必要地；必定地，必然地
furthermore,adv. 此外；而且
consequently,adv. 因此；结果；所以
consistently,adv. 一贯地；一致地；坚实地
comparatively,adv. 比较地；相当地
approximately,adv. 大约，近似地；近于
alternatively,adv. 非此即彼；二者择一地；作为一种选择
instinctively,adv. 本能地
predominantly,adv. 主要地；显著地
unconsciously,adv. 不知不觉；无意识地
overwhelmingly,adv. 压倒性地；不可抵抗地
alphabetically,adv. 照字母顺序排列地
scientifically,adv. 系统地；合乎科学地；学问上
simultaneously,adv. 同时地
extraordinarily,adv. 非常；格外地；非凡地
enthusiastically,adv. 热心地；满腔热情地
lest,conj. 唯恐，以免；担心
norm,n. 标准，规范
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
ethic,"n. 伦理；道德规范
adj. 伦理的；道德的（等于ethical）"
origin,n. 起源；原点；出身；开端
circuit,"n.  电路，回路；巡回；一圈；环道
vt. 绕回…环行
vi. 环行"
fiction,n. 小说；虚构，编造；谎言
faculty,n. 科，系；能力；全体教员
impulse,"n. 冲动； 脉冲；刺激；神经冲动；推动力
vt. 推动"
outlook,"n. 展望；观点；景色
vt. 比……好看；用目光压倒
vi. 朝外看"
approval,n. 批准；认可；赞成
exposure,n. 暴露；曝光；揭露；陈列
monarchy,n. 君主政体；君主国；君主政治
monopoly,n. 垄断；垄断者；专卖权
priority,n. 优先；优先权； 优先次序；优先考虑的事
proposal,n. 提议，建议；求婚
instinct,"n. 本能，直觉；天性
adj. 充满着的"
tendency,n. 倾向，趋势；癖好
candidate,n. 候选人，候补者；应试者
tolerance,n. 公差；宽容；容忍；公差
commodity,n. 商品，货物；日用品
dismissal,n. 解雇；免职
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
existence,n. 存在，实在；生存，生活；存在物，实在物
mechanism,n. 机制；原理，途径；进程；机械装置；技巧
admission,n. 承认；入场费；进入许可；坦白；录用
democracy,n. 民主，民主主义；民主政治
hostility,n. 敌意；战争行动
complaint,n. 抱怨；诉苦；疾病；委屈
explosion,n. 爆炸；爆发；激增
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
integrity,n. 完整；正直；诚实；廉正
territory,n. 领土，领域；范围；地域；版图
assumption,n. 假定；设想；担任；采取
republican,"n. 共和党人
adj. 共和党的
共和的"
competitor,n. 竞争者，对手
efficiency,n. 效率；效能；功效
assessment,n. 评定；估价
permission,n. 允许，许可
perspective,"n. 观点；远景；透视图
adj. 透视的"
acquisition,n. 获得物，获得；收购
distinction,n. 区别；差别；特性；荣誉、勋章
restriction,n. 限制；约束；束缚
transaction,n. 交易；事务；办理；会报，学报
exploration,n. 探测；探究；踏勘
flexibility,n. 灵活性；弹性；适应性
observation,n. 观察；监视；观察报告
renaissance,n. 文艺复兴（欧洲14至17世纪）
circumstance,n. 环境，情况；事件；境遇
distribution,n. 分布；分配
significance,n. 意义；重要性；意思
appreciation,n. 欣赏，鉴别；增值；感谢
demonstration,n. 示范；证明；示威游行
investigation,n. 调查；调查研究
concentration,n. 浓度；集中；浓缩；专心；集合
recommendation,n. 推荐；建议；推荐信
enquiry,n.  询问， 询盘
inquiry,n. 探究；调查；质询
professionalism,n. 专业主义；专家的地位；特性或方法
fade,"n.  淡出； 淡入
adj. 平淡的；乏味的
vi. 褪色；凋谢；逐渐消失
vt. 使褪色"
cater,vt. 投合，迎合；满足需要；提供饮食及服务
hijack,"n. 劫持；威逼；敲诈
vt. 抢劫；揩油
vi. 拦路抢劫"
arouse,"vt. 引起；唤醒；鼓励
vi. 激发；醒来；发奋"
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
assert,vt. 维护，坚持；断言；主张；声称
govern,"vt. 管理；支配；统治；控制
vi. 居支配地位；进行统治"
modify,"vt. 修改，修饰；更改
vi. 修改"
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
entitle,vt. 称做…；定名为…；给…称号；使…有权利
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
violate,vt. 违反；侵犯，妨碍；亵渎
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
underlie,vt. 成为……的基础；位于……之下
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
regulate,vt. 调节，规定；控制；校准；有系统的管理
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
speculate,"vi. 推测；投机；思索
vt. 推断"
originate,"vt. 引起；创作
vi. 发源；发生；起航"
undermine,vt. 破坏，渐渐破坏；挖掘地基
distribute,vt. 分配；散布；分开；把…分类
characterise,vt. 是…的特征; 以…为特征; 描述（人或物）的特性; 描绘
characterize,"vt. 描绘…的特性；具有…的特征
vi. 塑造人物"
mere,"adj. 仅仅的；只不过的
n. 小湖；池塘"
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
casual,"n. 便装；临时工人；待命士兵
adj. 随便的；非正式的；临时的；偶然的"
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
virtual,adj.  虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
intense,adj. 强烈的；紧张的；非常的；热情的
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
