pain,"n. 疼痛；努力
vt. 使…痛苦；使…烦恼
vi. 感到疼痛；引起疼痛"
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地"
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
satisfy,"vi. 令人满意；令人满足
vt. 满足；说服，使相信；使满意，使高兴"
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
huge,adj. 巨大的；庞大的；无限的
alive,adj. 活着的；活泼的；有生气的
lucky,adj. 幸运的；侥幸的
secret,"n. 秘密；秘诀；机密
adj. 秘密的；机密的"
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
strict,adj. 严格的；绝对的；精确的；详细的
famous,adj. 著名的；极好的，非常令人满意的
bright,"n. 车头灯光
adj. 明亮的，鲜明的；聪明的；愉快的
adv. 明亮地；光明地；欢快地"
similar,"n. 类似物
adj. 相似的"
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
serious,adj. 严肃的，严重的；认真的；庄重的；危急的
harmful,adj. 有害的；能造成损害的
western,"n. 西方人；西部片，西部小说
adj. 西方的，西部的；有西方特征的"
underground,"n. 地下；地铁；地道；地下组织；秘密活动；先锋派团体
adj. 地下的；秘密的；先锋派的
adv. 在地下；秘密地"
seldom,adv. 很少，不常
already,adv. 已经，早已；先前
perhaps,"n. 假定；猜想；未定之事
adv. 或许；（表示不确定）也许；（用于粗略的估计）或许；（表示勉强同意或其实不赞成）也许；可能"
usually,adv. 通常，经常
recently,adv. 最近；新近
certainly,adv. 当然；行（用于回答）；必定
plenty,"n. 丰富，大量；充足
adj. 足够的，很多的
adv. 足够"
neither,"conj. 也不；既不
adv. 两个都不；既不……也不
adj. 两者都不的
pron. 两者都不"
everybody,pron. 每个人；人人
thousand,"n. 一千；一千个；许许多多
adj. 成千的；无数的"
cure,"n. 治疗；治愈； 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理"
wage,"n. 工资；代价；报偿
vt. 进行；开展
vi. 进行；发动；从事"
error,n. 误差；错误；过失
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家"
editor,n. 编者，编辑；社论撰写人；编辑装置
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
campus,n. （大学）校园；大学，大学生活；校园内的草地
custom,"n. 习惯，惯例；风俗；海关，关税；经常光顾；（经常性的）顾客
adj. （衣服等）定做的，定制的"
agenda,n. 议程；日常工作事项；日程表
wisdom,n. 智慧，才智；明智；学识；至理名言
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
servant,n. 仆人，佣人；公务员；雇工
liberty,n. 自由；许可；冒失
capacity,n. 能力；容量；资格，地位；生产力
accident,n. 事故；意外； 意外事件；机遇
teenager,n. 十几岁的青少年；十三岁到十九岁的少年
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
politician,n. 政治家，政客
psychology,n. 心理学；心理状态
commitment,n. 承诺，保证；委托；承担义务；献身
membership,n. 资格；成员资格；会员身份
enterprise,n. 企业；事业；进取心；事业心
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
inspection,n. 视察，检查
application,n. 应用；申请；应用程序；敷用
recognition,n. 识别；承认，认出；重视；赞誉；公认
pipe,"n. 管；烟斗；笛
vt. 用管道输送；尖声唱；用管乐器演奏
vi. 吹笛；尖叫"
nest,"n. 巢，窝；安乐窝；温床
vt. 筑巢；嵌套
vi. 筑巢；找鸟巢"
route,"n. 路线；航线；通道
vt. 按某路线发送"
piano,n. 钢琴
device,n. 装置；策略；图案
prison,"n. 监狱；监禁；拘留所
vt. 监禁，关押"
format,"n. 格式；版式；开本
vt. 使格式化；规定…的格式
vi. 设计版式"
laptop,n. 膝上型轻便电脑，笔记本电脑
studio,n. 工作室； 演播室；画室；电影制片厂
license,"n. 执照，许可证；特许
vt. 许可；特许；发许可证给"
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
gallery,"n. 画廊；走廊；旁听席；地道
vt. 在…修建走廊；在…挖地道
vi. 挖地道"
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
envelope,n. 信封，封皮；包膜； 包层；包迹
dimension,"n. 方面; 维；尺寸；次元；容积 vt. 标出尺寸
adj. 规格的"
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
cigarette,n. 香烟；纸烟
constitution,n. 宪法；体制；章程；构造；建立，组成；体格
mode,n. 模式；方式；风格；时尚
event,n. 事件，大事；项目；结果
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
origin,n. 起源；原点；出身；开端
battle,"n. 战役；斗争
vt. 与…作战
vi. 斗争；作战"
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
motion,"n. 动作；移动；手势；请求；意向；议案
vi. 运动；打手势
vt. 运动；向…打手势"
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
finding,"n. 发现；裁决；发现物
v. 找到；感到（find的ing形式）；遇到"
concept,n. 观念，概念
context,n. 环境；上下文；来龙去脉
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
outcome,n. 结果，结局；成果
kingdom,n. 王国；界；领域
majority,n. 多数；成年
politics,n. 政治，政治学；政治活动；政纲
tendency,n. 倾向，趋势；癖好
division,n.  除法；部门；分配；分割；师（军队）；赛区
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
extension,n. 延长；延期；扩大；伸展；电话分机
innovation,n. 创新，革新；新方法
phenomenon,n. 现象；奇迹；杰出的人才
collection,n. 采集，聚集； 征收；收藏品；募捐
definition,n. 定义； 清晰度；解说
percentage,n. 百分比；百分率，百分数
consequence,n. 结果；重要性；推论
consumption,n. 消费；消耗；肺痨
interaction,"n. 相互作用； 交互作用
n. 互动"
distribution,n. 分布；分配
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
dare,"n. 挑战；挑动
vt. 敢冒；不惧
vi. 敢；胆敢"
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
exist,vi. 存在；生存；生活；继续存在
occur,vi. 发生；出现；存在
arise,vi. 出现；上升；起立
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
guide,"n. 指南；向导；入门书
vt. 引导；带领；操纵
vi. 担任向导"
ought,"aux. 应该，应当；大概
vi. 应该，应当；大概"
amuse,vt. 娱乐；消遣；使发笑；使愉快
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
oppose,"vt. 反对；对抗，抗争
vi. 反对"
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
obtain,"vi. 获得；流行
vt. 获得"
enable,vt. 使能够，使成为可能；授予权利或方法
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
examine,"vt. 检查；调查； 检测；考试
vi. 检查；调查"
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
confirm,vt. 确认；确定；证实；批准；使巩固
whisper,"n. 私语；谣传；飒飒的声音
vi. 耳语；密谈；飒飒地响
vt. 低声说出"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
maintain,vt. 维持；继续；维修；主张；供养
convince,vt. 说服；使确信，使信服
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
correspond,vi. 符合，一致；相应；通信
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
demonstrate,"vt. 证明；展示；论证
vi. 示威"
extra,"n. 临时演员；号外；额外的事物；上等产品
adj. 额外的，另外收费的；特大的
adv. 特别地，非常；另外"
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
civil,adj. 公民的；民间的；文职的；有礼貌的；根据民法的
prior,"adj. 优先的；在先的，在前的
adv. 在前，居先"
rooted,"v. 生根（root的过去式）
adj. 根深蒂固的；生根的"
fellow,"n. 家伙；朋友；同事；会员
adj. 同伴的，同事的；同道的
vt. 使…与另一个对等；使…与另一个匹敌"
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
nuclear,adj. 原子能的； 细胞核的；中心的；原子核的
passive,"n. 被动语态
adj. 被动的，消极的；被动语态的"
creative,adj. 创造性的
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
suitable,adj. 适当的；相配的
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
sufficient,adj. 足够的；充分的
subsequent,adj. 后来的，随后的
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
apart,"adj. 分离的；与众不同的
adv. 相距；与众不同地；分离着"
mostly,adv. 主要地；通常；多半地
further,"adj. 更远的；深一层的
vt. 促进，助长；增进
adv. 进一步地；而且；更远地"
slightly,adv. 些微地，轻微地；纤细地
precisely,adv. 精确地；恰恰
frequently,adv. 频繁地，经常地；时常，屡次
ultimately,adv. 最后；根本；基本上
particularly,adv. 特别地，独特地；详细地，具体地；明确地，细致地
throughout,"prep. 贯穿，遍及
adv. 自始至终，到处；全部"
billion,"num. 十亿
n. 十亿；大量
adj. 十亿的"
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
version,n. 版本；译文；倒转术
universe,n. 宇宙；世界；领域
owe,"vt. 欠；感激；应给予；应该把……归功于
vi. 欠钱"
suit,"n. 诉讼；恳求；套装，西装；一套外衣
vt. 适合；使适应
vi. 合适；相称"
establish,"vi. 植物定植
vt. 建立；创办；安置"
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
vote,"n. 投票，选举；选票；得票数
vi. 选举，投票
vt. 提议，使投票；投票决定；公认"
supply,"n. 供给，补给；供应品
vt. 供给，提供；补充
vi. 供给；替代"
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
material,"adj. 重要的；物质的，实质性的；肉体的
n. 材料，原料；物资；布料"
gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
mount,"vt. 增加；爬上；使骑上马；安装，架置；镶嵌，嵌入；准备上演；成立（军队等）
vi. 爬；增加；上升
n. 山峰；底座；乘骑用马；攀，登；运载工具；底座
v. 登上；骑上"
labour,n. （英国）工党
