traffic,"n. 交通；运输；贸易； 通信量
vt. 用…作交换；在…通行
vi. 交易，买卖"
cartoon,"n. 卡通片， 动画片；连环漫画
vt. 为…画漫画
vi. 画漫画"
medicine,"n. 药；医学；内科；巫术
vt. 用药物治疗；给…用药"
situation,n. 情况；形势；处境；位置
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
housework,n. 家务事
June,n. 六月；琼（人名，来源于拉丁语，含义是“年轻气盛的六月”）
front,"n. 前面；正面；前线
adj. 前面的；正面的
vt. 面对；朝向；对付
vi. 朝向
adv. 在前面；向前"
April,n. 四月
middle,"adj. 中间的，中部的；中级的，中等的
n. 中间，中央；腰部"
period,"n. 周期，期间；时期；月经；课时；（语法学）句点，句号
adj. 某一时代的"
safety,n. 安全；保险；安全设备；保险装置；安打
corner,"n. 角落，拐角处；地区，偏僻处；困境，窘境
vt. 垄断；迫至一隅；使陷入绝境；把…难住
vi. 囤积；相交成角"
quarter,"num. 四分之一
n. 四分之一；地区；季度；一刻钟；两角五分；节
vt. 将…四等分；供某人住宿
vi. 住宿；驻扎"
October,n.  十月
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
November,n. 十一月
September,n. 九月
difference,n. 差异；不同；争执
difficulty,n. 困难，困境
add,"n. 加法，加法运算
vi. 加；增加；加起来；做加法
vt. 增加，添加；补充说；计算…总和"
lie,"vi. 躺；说谎；位于；展现
vt. 谎骗
n. 谎言；位置"
tie,"n. 领带；平局；鞋带；领结；不分胜负
vi. 打结；不分胜负；被用带（或绳子等）系住
vt. 系；约束；打结；与…成平局"
nod,"n. 点头；打盹；摆动
vt. 点头；点头表示
vi. 点头；打盹；摆动"
fail,"n. 不及格
vi. 失败，不及格；破产；缺乏；衰退
vt. 不及格；使失望；忘记；舍弃"
join,"vt. 参加；结合；连接
vi. 加入；参加；结合
n. 结合；连接；接合点"
copy,"n. 副本；一册；摹仿
vt. 复制；复印；抄袭
vi. 复制；复印；抄袭"
shut,"n. 关闭
adj. 关闭的；围绕的
vi. 关上；停止营业
vt. 关闭；停业；幽禁"
cover,"n. 封面，封皮；盖子；掩蔽物;幌子，借口
vt. 包括；采访，报导；涉及
vi. 覆盖；代替"
model,"n. 模型；典型；模范；模特儿；样式
vt. 模拟；塑造；模仿
vi. 做模型；做模特儿
adj. 模范的；作模型用的"
serve,"n. 发球，轮到发球
vi. 服役，服务；适合，足够；发球；招待，侍候
vt. 招待，供应；为…服务；对…有用；可作…用"
match,"vt. 使比赛；使相配；敌得过，比得上；相配；与…竞争
vi. 比赛；匹配；相配，相称；相比
n. 比赛，竞赛；匹配；对手；火柴"
brush,"n. 刷子；画笔；毛笔；争吵；与某人有效冲突；灌木丛地带；矮树丛；狐狸尾巴
vi. 刷；擦过；掠过；（经过时）轻触
vt. 刷；画；"
follow,"n. 跟随；追随
vi. 跟随；接着
vt. 跟随；遵循；追求；密切注意，注视；注意；倾听"
happen,vi. 发生；碰巧；偶然遇到
decide,"vi. 决定，下决心
vt. 决定；解决；判决"
invite,"n. 邀请
vt. 邀请，招待；招致"
bottle,"n. 瓶子；一瓶的容量
vt. 控制；把…装入瓶中
vi. （街头艺人演出后）收拢钱币"
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
mention,"vt. 提到，谈到；提及，论及；说起
n. 提及，说起"
discuss,vt. 讨论；论述，辩论
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
satisfy,"vi. 令人满意；令人满足
vt. 满足；说服，使相信；使满意，使高兴"
perfect,"n. 完成式
adj. 完美的；最好的；精通的
vt. 使完美；使熟练"
succeed,"vi. 成功；继承；继任；兴旺
vt. 继承；接替；继…之后"
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
introduce,vt. 介绍；引进；提出；采用
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
west,"n. 西；西方；西部
adj. 西方的；朝西的
adv. 在西方；向西方；自西方"
hurt,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦"
main,"n. 主要部分，要点；体力；总管道
adj. 主要的，最重要的；全力的"
daily,"n. 日报；朝来夜去的女佣
adj. 日常的；每日的
adv. 日常地；每日；天天"
worth,"n. 价值；财产
adj. 值…的"
worst,"n. 最坏；最坏的时候
adj. 最差的，最坏的；最不利的；效能最低的
adv. 最坏地；最不利地"
direct,"adj. 直接的；直系的；亲身的；恰好的
vt. 管理；指挥；导演；指向
adv. 直接地；正好；按直系关系
vi. 指导；指挥"
several,"adj. 几个的；各自的
pron. 几个；数个"
popular,adj. 流行的，通俗的；受欢迎的；大众的；普及的
special,"n. 特使，特派人员；特刊；特色菜；专车；特价商品
adj. 特别的；专门的，专用的"
possible,"n. 可能性；合适的人；可能的事物
adj. 可能的；合理的；合适的"
personal,"n. 人事消息栏；人称代名词
adj. 个人的；身体的；亲自的"
southern,"n. 南方人
adj. 南的；南方的"
comfortable,"n. 盖被
adj. 舒适的，舒服的"
international,"n. 国际组织；国际体育比赛；外国居留者；国际股票
adj. 国际的；两国（或以上）国家的；超越国界的；国际关系的；世界的"
twice,adv. 两次；两倍
nearly,adv. 差不多，几乎；密切地
pretty,"n. 有吸引力的事物（尤指饰品）；漂亮的人
adj. 漂亮的；可爱的；优美的
adv. 相当地；颇"
seldom,adv. 很少，不常
already,adv. 已经，早已；先前
finally,adv. 最后；终于；决定性地
recently,adv. 最近；新近
certainly,adv. 当然；行（用于回答）；必定
unless,"conj. 除非，如果不
prep. 除…之外"
except,"conj. 除了；要不是
prep. 除…之外
vt. 不计；把…除外
vi. 反对"
inside,"prep. 少于；在…之内
n. 里面；内部；内情；内脏
adj. 里面的；内部的；秘密的
adv. 在里面"
hundred,"num. 百；百个
n. 一百；许多
adj. 一百的；许多的"
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
order,"n. 命令；顺序；规则； 定单
vt. 命令；整理；定购
vi. 命令；定货"
center,"n. 中心，中央；中锋；中心点
adj. 中央的，位在正中的
vt. 集中，使聚集在一点；定中心
vi. 居中，被置于中心"
couple,"n. 对；夫妇；数个
vt. 结合；连接；连合
vi. 结合；成婚"
flu,n. 流感
skin,"n. 皮肤；外皮
vt. 剥皮
vi. 愈合；长皮"
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
female,"n. 女人； 雌性动物
adj. 女性的；雌性的；柔弱的，柔和的"
origin,n. 起源；原点；出身；开端
breath,n. 呼吸，气息；一口气，（呼吸的）一次；瞬间，瞬息；微风；迹象；无声音，气音
client,n.  客户；顾客；委托人
concept,n. 观念，概念
disease,"n. 病， 疾病；弊病
vt. 传染；使…有病"
citizen,n. 公民；市民；老百姓
partner,"n. 伙伴；合伙人；配偶
vt. 使合作；与…合伙
vi. 合伙；合股；成为搭档"
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
passion,n. 激情；热情；酷爱；盛怒
defence,n. 防御；防卫；答辩；防卫设备
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
marriage,n. 结婚；婚姻生活；密切结合，合并
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
tradition,n. 惯例，传统；传说
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
authority,n. 权威；权力；当局
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
departure,n. 离开；出发；违背
guideline,"n. 指导方针
参考"
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
qualification,n. 资格；条件；限制；赋予资格
discrimination,n. 歧视；区别，辨别；识别力
sum,"n. 金额；总数
vt. 总结；合计
vi. 概括"
zone,  地带、地区（德语）
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料"
debt,n. 债务；借款；罪过
wing,"n. 翼；翅膀；飞翔；派别；侧厅，耳房，厢房
vt. 使飞；飞过；空运；增加…速度；装以翼
vi. 飞行"
chart,"n. 图表；海图；图纸；排行榜
vt. 绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展"
scene,n. 场面；情景；景象；事件
snack,"n. 小吃，快餐；一份，部分
vi. 吃快餐，吃点心"
arrow,"n. 箭，箭头；箭状物；箭头记号
vt. 以箭头指示；箭一般地飞向"
agency,n. 代理，中介；代理处，经销处
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
phrase,"n. 短语, 习语, 措辞, 乐句
vt. 措词, 将(乐曲)分成乐句"
fabric,n. 织物；布；组织；构造；建筑物
sample,"n. 样品；样本；例子
adj. 试样的，样品的；作为例子的
vt. 取样；尝试；抽样检查"
output,"n. 输出，输出量；产量；出产
vt. 输出"
reality,n. 现实；实际；真实
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
context,n. 环境；上下文；来龙去脉
airline,"n. 航空公司；航线
adj. 航线的"
gallery,"n. 画廊；走廊；旁听席；地道
vt. 在…修建走廊；在…挖地道
vi. 挖地道"
ceiling,n. 天花板；上限
episode,n. 插曲；一段情节；插话；有趣的事件
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
solution,n. 解决方案；溶液；溶解；解答
insurance,n. 保险；保险费；保险契约；赔偿金
procedure,n. 程序，手续；步骤
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
experiment,"n. 实验，试验；尝试
vi. 尝试；进行实验"
phenomenon,n. 现象；奇迹；杰出的人才
resistance,n. 阻力；电阻；抵抗；反抗；抵抗力
arrangement,n. 布置；整理；准备
destination,n. 目的地，终点
organisation,n. 组织；团体（等于organization）
advertisement,n. 广告，宣传
era,n. 时代；年代；纪元
sort,"n. 种类；方式；品质
vt. 将…分类；将…排序；挑选出某物
vi. 分类；协调；交往"
type,"n. 类型，品种；模范；样式
vt. 打字；测定（血等）类型
vi. 打字"
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
image,"n. 影像；想象；肖像；偶像
vt. 想象；反映；象征；作…的像"
moment,n. 片刻，瞬间，时刻；重要，契机
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
flight,"n. 飞行；班机；逃走
vt. 射击；使惊飞
vi. 迁徙"
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
extent,n. 程度；范围；长度
absence,n. 没有；缺乏；缺席；不注意
response,n. 响应；反应；回答
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
category,n. 种类，分类； 范畴
distance,"n. 距离；远方；疏远；间隔
vt. 疏远；把…远远甩在后面"
description,n. 描述，描写；类型；说明书
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
ban,"n. 禁令，禁忌
vt. 禁止，取缔"
gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
root,"n. 根；根源；词根；祖先
vt. 生根，固定；根源在于
vi. 生根；根除"
chew,"n. 咀嚼；咀嚼物
vi. 细想，深思
vt. 嚼碎，咀嚼"
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
ward,"n. 病房；保卫；监视
vt. 避开；保卫；守护"
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
refer,"vt. 涉及；委托；归诸于；使…求助于
vi. 参考；涉及；提到；查阅"
stare,"n. 凝视；注视
vt. 凝视，盯着看
vi. 凝视，盯着看；显眼"
erupt,"vi. 爆发；喷出；发疹；长牙
vt. 爆发；喷出"
relay,"n.  继电器；接替，接替人员；驿马
vt. 转播；使接替；分程传递
vi. 转播；接替"
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
